season,player_name,team_name,matches,innings,runs,batting_avg,strike_rate,fours,sixes,fifties,hundreds,wickets,economy,bowling_avg
2015,CH Morris,Delhi Daredevils,13,8,32,21.34,145.44,4,4,0,0,9,8.61,20.68
2016,CH Morris,Rajasthan Royals,9,6,76,19.38,161.99,4,3,0,0,10,8.3,21.98
2017,CH Morris,Royal Challengers Bangalore,13,8,29,17.38,154.61,7,2,0,0,6,8.72,24.24
2018,CH Morris,Royal Challengers Bangalore,11,7,50,24.86,169.22,6,3,0,0,14,7.23,24.8
2019,CH Morris,Royal Challengers Bangalore,11,7,83,23.06,160.56,5,4,0,0,15,8.05,21.09
2020/21,CH Morris,Royal Challengers Bangalore,11,7,91,20.65,147.88,6,4,1,0,10,7.5,26.4
2021,CH Morris,Royal Challengers Bangalore,6,4,61,28.11,160.0,3,3,0,0,12,7.35,23.88
2014,CJ Anderson,Delhi Daredevils,6,6,74,21.19,116.79,9,4,0,0,4,9.45,39.11
2015,CJ Anderson,Mumbai Indians,6,6,112,29.12,112.02,6,4,1,1,4,10.56,51.2
2016,CJ Anderson,Royal Challengers Bangalore,7,7,59,20.15,130.56,6,4,1,0,2,9.85,44.09
2017,CJ Anderson,Royal Challengers Bangalore,6,6,124,29.55,109.79,10,3,2,0,3,10.55,50.05
2018,CJ Anderson,Royal Challengers Bangalore,5,5,86,16.41,130.34,7,5,1,0,4,9.99,45.72
2018,CJ Dala,Delhi Daredevils,1,1,0,22.04,102.77,0,0,0,0,0,10.59,25.88
2011,CJ Ferguson,Pune Warriors,3,3,47,18.44,76.87,3,0,1,0,0,7.85,34.95
2012,CJ Ferguson,Pune Warriors,5,4,29,10.62,93.84,5,0,0,0,0,7.66,28.49
2020/21,CJ Green,Kolkata Knight Riders,1,1,0,14.46,105.9,0,0,0,0,0,9.0,27.19
2016,CJ Jordan,Chennai Super Kings,6,2,15,10.8,120.48,0,0,0,0,6,8.95,42.75
2017,CJ Jordan,Kings XI Punjab,5,2,14,6.67,97.62,0,0,0,0,2,10.06,39.54
2018,CJ Jordan,Mumbai Indians,6,2,15,5.61,111.33,1,0,0,0,6,9.09,38.52
2019,CJ Jordan,Punjab Kings,5,2,13,5.74,105.76,1,0,0,0,4,9.09,30.33
2020/21,CJ Jordan,Royal Challengers Bangalore,3,1,11,7.06,106.38,0,0,0,0,2,9.29,30.47
2021,CJ Jordan,Sunrisers Hyderabad,6,2,7,8.98,105.76,0,0,0,0,4,8.79,38.81
2022,CJ Jordan,Sunrisers Hyderabad,3,1,14,5.05,113.57,1,0,0,0,5,10.14,38.38
2023,CJ Jordan,Sunrisers Hyderabad,5,2,12,5.39,111.12,1,0,0,0,4,10.2,34.79
2012,CJ McKay,Mumbai Indians,3,2,3,5.76,50.98,0,0,0,0,1,7.91,69.94
2008,CK Kapugedera,Chennai Super Kings,7,4,18,5.66,69.08,0,0,0,0,0,18.71,24.92
2009,CK Langeveldt,Kolkata Knight Riders,2,1,3,4.02,88.01,0,0,0,0,2,6.54,15.31
2010,CK Langeveldt,Royal Challengers Bangalore,3,1,2,2.88,85.62,0,0,0,0,2,7.06,16.09
2011,CK Langeveldt,Royal Challengers Bangalore,2,1,2,4.25,95.0,0,0,0,0,5,6.53,14.21
2008,CL White,Deccan Chargers,8,8,131,37.07,136.67,13,4,0,0,0,13.39,98.25
2009,CL White,Royal Challengers Bangalore,11,11,112,27.11,141.14,16,9,1,0,0,12.87,77.8
2010,CL White,Sunrisers Hyderabad,11,11,111,20.01,134.62,9,7,0,0,0,12.64,82.55
2011,CL White,Sunrisers Hyderabad,10,10,163,29.58,132.68,17,8,0,0,0,11.78,69.51
2012,CL White,Sunrisers Hyderabad,7,7,83,36.27,116.94,18,7,0,0,0,11.15,82.22
2013,CL White,Sunrisers Hyderabad,7,7,119,34.42,114.47,13,4,0,0,0,12.82,81.5
2013,CM Gautam,Delhi Daredevils,5,5,54,14.3,122.53,6,3,0,0,0,8.52,35.52
2014,CM Gautam,Mumbai Indians,3,3,39,19.57,113.29,4,2,0,0,0,8.12,32.71
2015,CM Gautam,Mumbai Indians,4,4,42,18.78,129.33,8,3,0,0,0,8.0,26.59
2026,CPL Connolly,Punjab Kings,4,3,174,41.52,163.02,15,5,1,0,0,9.02,25.08
2016,CR Brathwaite,Delhi Daredevils,2,2,71,11.04,143.07,3,6,0,0,4,8.94,24.89
2017,CR Brathwaite,Kolkata Knight Riders,2,2,22,9.29,175.29,4,2,0,0,4,8.94,34.53
2018,CR Brathwaite,Sunrisers Hyderabad,5,4,57,14.19,139.01,3,4,0,0,5,8.43,23.63
2019,CR Brathwaite,Sunrisers Hyderabad,4,4,64,14.19,139.24,2,5,1,0,4,8.65,30.75
2017,CR Woakes,Delhi Capitals,6,3,23,17.33,112.91,1,1,0,0,8,8.78,22.89
2018,CR Woakes,Kolkata Knight Riders,5,3,23,14.45,103.57,1,0,0,0,3,8.6,19.57
2019,CR Woakes,Royal Challengers Bangalore,6,3,10,16.28,90.89,1,0,0,0,4,9.15,18.84
2020/21,CR Woakes,Royal Challengers Bangalore,3,2,7,15.56,108.3,1,0,0,0,3,9.03,25.8
2021,CR Woakes,Royal Challengers Bangalore,3,2,24,12.26,115.46,2,0,0,0,8,9.0,18.39
2008,CRD Fernando,Mumbai Indians,5,1,2,12.89,148.73,0,0,0,0,5,7.38,18.03
2009,CRD Fernando,Mumbai Indians,2,1,2,15.41,151.44,0,0,0,0,8,7.16,16.19
2010,CRD Fernando,Mumbai Indians,2,1,2,19.76,143.85,0,0,0,0,7,6.99,15.29
2019,CV Varun,Kings XI Punjab,8,1,5,3.14,54.61,0,0,0,0,12,7.21,22.65
2020/21,CV Varun,Kolkata Knight Riders,7,1,1,4.09,52.12,0,0,0,0,16,6.99,26.29
2021,CV Varun,Kolkata Knight Riders,9,1,4,6.06,59.09,0,0,0,0,9,7.19,19.87
2022,CV Varun,Kolkata Knight Riders,14,2,4,5.71,56.21,0,0,0,0,17,7.79,23.42
2023,CV Varun,Kolkata Knight Riders,12,2,4,5.94,61.98,0,0,0,0,12,8.28,22.62
2024,CV Varun,Kolkata Knight Riders,8,1,3,3.55,46.38,0,0,0,0,13,7.39,25.81
2025,CV Varun,Kolkata Knight Riders,7,1,4,6.53,50.82,0,0,0,0,6,8.4,23.7
2026,CV Varun,Kolkata Knight Riders,16,3,3,4.78,47.95,0,0,0,0,17,8.41,20.01
2022,D Brevis,Chennai Super Kings,4,4,93,22.07,161.01,9,4,1,0,0,15.56,7.18
2023,D Brevis,Mumbai Indians,5,5,144,35.89,171.45,4,8,1,0,0,17.24,6.78
2024,D Brevis,Mumbai Indians,5,5,52,30.49,146.7,8,6,0,0,0,15.79,7.25
2025,D Brevis,Mumbai Indians,2,2,127,17.4,152.36,4,5,1,0,0,16.55,8.59
2026,D Brevis,Mumbai Indians,4,4,64,21.43,142.48,5,7,1,0,0,15.17,8.95
2024,D Ferreira,Delhi Capitals,1,1,5,2.46,53.95,0,0,0,0,0,9.1,29.21
2025,D Ferreira,Rajasthan Royals,3,2,4,2.51,51.32,0,0,0,0,0,9.03,28.02
2026,D Ferreira,Rajasthan Royals,2,1,4,2.06,55.17,0,0,0,0,0,9.11,27.86
2023,D Jansen,Mumbai Indians,1,1,0,22.27,124.57,0,0,0,0,0,12.9,55.92
2008,D Kalyankrishna,Deccan Chargers,3,1,1,4.06,41.84,0,0,0,0,3,11.44,41.96
2020/21,D Padikkal,Lucknow Super Giants,14,14,273,28.71,128.42,35,10,3,0,0,7.73,25.93
2021,D Padikkal,Rajasthan Royals,11,11,287,17.06,117.59,43,7,3,0,0,8.04,35.25
2022,D Padikkal,Royal Challengers Bangalore,16,16,146,27.02,113.08,19,5,1,1,0,9.09,34.79
2023,D Padikkal,Royal Challengers Bengaluru,14,14,189,26.37,136.01,25,6,1,1,0,8.49,30.88
2024,D Padikkal,Royal Challengers Bengaluru,9,9,198,16.68,147.33,26,9,3,1,0,8.2,25.69
2025,D Padikkal,Royal Challengers Bengaluru,16,16,189,19.93,119.72,19,9,2,0,0,8.45,25.3
2026,D Padikkal,Royal Challengers Bengaluru,8,8,115,19.02,113.59,20,10,0,0,0,9.05,30.43
2022,D Pretorius,Chennai Super Kings,4,3,18,13.9,170.55,2,1,0,0,4,9.4,43.75
2023,D Pretorius,Chennai Super Kings,2,1,22,11.38,180.52,1,2,0,0,3,9.21,40.81
2008,D Salunkhe,Rajasthan Royals,6,3,38,15.22,155.12,7,0,1,0,0,9.71,64.31
2015,D Wiese,Kolkata Knight Riders,3,2,24,18.13,158.16,1,1,0,0,1,8.27,29.25
2016,D Wiese,Royal Challengers Bangalore,1,1,14,38.44,140.64,1,1,0,0,2,8.98,26.92
2017,D Wiese,Royal Challengers Bangalore,2,1,22,21.89,167.71,2,1,0,0,1,9.03,32.66
2018,D Wiese,Royal Challengers Bangalore,2,1,11,32.52,148.37,1,1,0,0,2,9.57,32.48
2019,D Wiese,Royal Challengers Bangalore,3,2,20,23.2,161.55,1,1,0,0,2,9.3,29.88
2020/21,D Wiese,Royal Challengers Bangalore,2,1,23,32.2,148.88,2,1,0,0,1,8.17,25.81
2021,D Wiese,Royal Challengers Bangalore,1,1,19,19.93,165.15,1,1,0,0,1,8.99,26.92
2022,D Wiese,Royal Challengers Bangalore,3,2,15,26.77,127.98,1,1,0,0,2,9.3,29.3
2023,D Wiese,Royal Challengers Bangalore,3,2,18,28.1,146.41,1,1,0,0,3,9.51,23.42
2009,D du Preez,Royal Challengers Bangalore,2,1,8,10.2,74.58,0,0,0,0,2,8.2,12.53
2012,DA Miller,Delhi Capitals,8,8,335,32.82,143.88,9,7,3,0,0,8.62,24.37
2013,DA Miller,Gujarat Titans,8,8,148,48.87,134.45,20,8,2,0,0,7.98,28.24
2014,DA Miller,Kings XI Punjab,10,10,230,29.57,134.37,22,13,3,0,0,9.12,26.33
2015,DA Miller,Lucknow Super Giants,6,6,256,31.28,140.28,21,8,1,0,0,9.33,29.8
2016,DA Miller,Rajasthan Royals,11,10,303,28.21,140.14,23,10,3,0,0,8.28,26.68
2017,DA Miller,Rajasthan Royals,14,13,208,29.39,134.16,19,12,1,0,0,8.2,31.32
2018,DA Miller,Rajasthan Royals,8,8,242,47.23,155.31,21,10,1,0,0,7.78,33.99
2019,DA Miller,Rajasthan Royals,8,8,144,44.78,121.65,12,6,2,0,0,8.32,25.06
2020/21,DA Miller,Rajasthan Royals,7,7,241,27.98,135.54,20,9,1,1,0,9.27,25.17
2021,DA Miller,Rajasthan Royals,14,13,122,46.84,151.5,19,6,1,0,0,8.96,25.05
2022,DA Miller,Rajasthan Royals,12,11,216,38.05,143.28,13,7,2,0,0,8.94,24.08
2023,DA Miller,Rajasthan Royals,9,9,309,48.9,141.29,22,13,3,0,0,8.97,28.99
2024,DA Miller,Rajasthan Royals,10,10,155,46.79,123.82,21,7,2,0,0,8.52,35.8
2025,DA Miller,Rajasthan Royals,8,8,303,44.62,153.13,17,6,0,0,0,8.5,27.65
2026,DA Miller,Rajasthan Royals,5,5,320,21.94,119.71,17,13,0,0,0,8.17,31.67
2026,DA Payne,Sunrisers Hyderabad,3,2,10,13.85,113.74,0,0,0,0,1,13.18,32.54
2009,DA Warner,Delhi Capitals,14,14,500,33.52,130.73,46,18,1,0,0,12.28,28.63
2010,DA Warner,Delhi Daredevils,16,16,372,53.45,151.88,52,9,5,0,0,11.5,28.96
2011,DA Warner,Sunrisers Hyderabad,16,16,306,55.1,121.72,54,9,1,0,0,12.75,32.49
2012,DA Warner,Sunrisers Hyderabad,13,13,597,45.23,145.09,57,15,4,0,0,10.94,32.86
2013,DA Warner,Sunrisers Hyderabad,12,12,334,41.57,150.96,28,10,2,0,0,12.49,31.98
2014,DA Warner,Sunrisers Hyderabad,16,16,441,32.92,124.49,27,9,6,0,0,12.17,24.39
2015,DA Warner,Sunrisers Hyderabad,10,10,488,32.13,123.09,61,17,1,0,0,12.89,32.62
2016,DA Warner,Sunrisers Hyderabad,11,11,517,31.36,142.47,22,10,1,0,0,11.25,34.05
2017,DA Warner,Sunrisers Hyderabad,8,8,367,29.86,123.03,24,12,3,0,0,11.58,34.25
2018,DA Warner,Sunrisers Hyderabad,9,9,343,55.57,151.9,60,11,1,0,0,12.1,27.84
2019,DA Warner,Sunrisers Hyderabad,14,14,407,29.55,135.29,57,16,6,0,0,10.85,27.99
2020/21,DA Warner,Sunrisers Hyderabad,7,7,604,43.88,154.36,39,10,3,0,0,10.81,30.85
2021,DA Warner,Sunrisers Hyderabad,14,14,613,47.61,127.79,60,21,5,0,0,12.76,25.66
2022,DA Warner,Sunrisers Hyderabad,14,14,643,28.68,134.08,29,8,0,0,0,12.54,24.65
2023,DA Warner,Sunrisers Hyderabad,15,15,502,39.4,139.92,49,18,7,0,0,11.85,32.2
2024,DA Warner,Sunrisers Hyderabad,8,8,428,54.27,152.29,22,8,7,0,0,12.7,33.76
2012,DAJ Bracewell,Delhi Daredevils,1,1,13,24.71,126.16,1,0,0,0,3,7.76,12.25
2008,DB Das,Kolkata Knight Riders,3,2,68,24.19,104.85,4,2,0,0,0,9.25,32.99
2009,DB Das,Kolkata Knight Riders,7,5,51,14.01,127.76,2,3,0,0,0,8.63,35.91
2010,DB Das,Kolkata Knight Riders,3,2,44,24.02,124.57,5,4,0,0,0,7.92,34.4
2011,DB Das,Kolkata Knight Riders,3,2,27,26.42,122.53,5,1,0,0,0,8.3,25.25
2012,DB Das,Kolkata Knight Riders,3,2,41,25.92,117.49,5,2,0,0,0,8.07,35.11
2013,DB Das,Kolkata Knight Riders,5,4,33,13.26,105.25,4,2,0,0,0,8.78,27.62
2008,DB Ravi Teja,Deccan Chargers,3,2,27,20.65,114.56,6,1,0,0,0,10.12,32.03
2009,DB Ravi Teja,Sunrisers Hyderabad,5,4,26,24.83,107.42,5,2,0,0,0,10.25,26.32
2010,DB Ravi Teja,Sunrisers Hyderabad,3,2,95,23.13,120.73,8,2,0,0,0,9.85,28.93
2011,DB Ravi Teja,Sunrisers Hyderabad,3,2,39,26.6,120.05,4,2,0,0,0,9.12,30.94
2012,DB Ravi Teja,Sunrisers Hyderabad,7,5,37,14.06,117.65,6,2,0,0,0,8.63,29.28
2013,DB Ravi Teja,Sunrisers Hyderabad,6,5,58,23.23,103.58,4,2,0,0,0,9.5,27.02
2023,DC Jurel,Rajasthan Royals,7,6,168,43.19,142.54,20,16,0,1,0,8.72,24.09
2024,DC Jurel,Rajasthan Royals,10,8,318,43.28,161.88,22,13,2,0,0,8.42,29.08
2025,DC Jurel,Rajasthan Royals,10,8,159,40.41,180.05,22,11,0,1,0,9.08,25.64
2026,DC Jurel,Rajasthan Royals,7,6,287,22.13,144.86,12,11,1,0,0,8.9,28.95
2010,DE Bollinger,Chennai Super Kings,8,1,3,12.82,80.27,0,0,0,0,16,7.02,15.78
2011,DE Bollinger,Chennai Super Kings,5,1,4,21.14,88.8,0,0,0,0,5,6.57,20.31
2012,DE Bollinger,Chennai Super Kings,13,2,11,20.87,83.07,0,0,0,0,11,6.65,16.45
2022,DG Nalkande,Gujarat Titans,2,1,4,6.98,102.88,0,0,0,0,2,9.95,25.26
2023,DG Nalkande,Gujarat Titans,2,1,2,7.49,113.16,0,0,0,0,3,11.29,28.5
2024,DG Nalkande,Gujarat Titans,1,1,2,7.7,85.57,0,0,0,0,1,10.08,23.82
2011,DH Yagnik,Rajasthan Royals,4,3,23,16.28,123.55,7,0,0,0,0,9.2,24.45
2012,DH Yagnik,Rajasthan Royals,7,5,59,17.86,131.52,5,1,1,0,0,8.83,30.89
2013,DH Yagnik,Rajasthan Royals,4,3,30,18.48,106.88,6,1,0,0,0,8.75,31.18
2014,DH Yagnik,Rajasthan Royals,6,4,28,11.09,122.71,6,1,0,0,0,7.85,28.97
2008,DJ Bravo,Chennai Super Kings,16,11,60,22.33,147.15,11,6,0,0,12,8.5,21.42
2009,DJ Bravo,Gujarat Lions,13,9,106,24.24,121.36,10,2,1,0,13,7.73,24.87
2010,DJ Bravo,Mumbai Indians,14,10,161,16.08,118.46,11,3,1,0,5,8.31,27.67
2011,DJ Bravo,Mumbai Indians,12,8,120,25.5,120.21,12,3,1,0,18,9.05,24.26
2012,DJ Bravo,Mumbai Indians,11,8,105,31.51,132.85,8,2,1,0,19,9.05,19.85
2013,DJ Bravo,Mumbai Indians,8,6,124,14.11,142.01,6,5,0,0,5,8.46,22.86
2014,DJ Bravo,Mumbai Indians,15,11,107,26.89,119.19,11,5,0,1,20,9.17,22.62
2015,DJ Bravo,Mumbai Indians,10,7,82,25.61,142.34,6,4,1,0,7,7.86,24.42
2016,DJ Bravo,Mumbai Indians,15,11,105,22.59,141.89,8,4,1,0,8,7.82,25.44
2017,DJ Bravo,Mumbai Indians,16,11,158,22.19,134.82,5,6,0,0,8,8.53,21.24
2018,DJ Bravo,Mumbai Indians,10,7,103,23.54,119.77,8,3,1,0,12,8.67,26.76
2019,DJ Bravo,Mumbai Indians,10,7,141,28.11,136.17,9,4,1,0,10,8.03,19.49
2020/21,DJ Bravo,Mumbai Indians,11,8,132,30.47,126.81,8,3,1,0,8,8.4,20.5
2021,DJ Bravo,Mumbai Indians,15,11,114,17.96,134.63,12,6,1,0,8,8.46,19.06
2022,DJ Bravo,Mumbai Indians,13,9,70,14.3,127.07,12,5,1,0,20,8.2,20.5
2012,DJ Harris,Deccan Chargers,2,2,155,18.63,95.85,16,4,2,0,0,7.99,34.75
2015,DJ Hooda,Chennai Super Kings,8,6,188,13.44,124.09,4,4,1,0,1,8.6,52.58
2016,DJ Hooda,Kings XI Punjab,11,9,120,21.54,135.31,11,6,1,0,1,8.4,64.56
2017,DJ Hooda,Lucknow Super Giants,13,11,197,20.37,118.97,9,7,3,0,1,8.5,62.14
2018,DJ Hooda,Punjab Kings,12,10,169,18.93,130.44,13,3,1,0,1,7.85,55.5
2019,DJ Hooda,Rajasthan Royals,9,7,127,16.38,140.96,6,5,1,0,0,8.17,50.81
2020/21,DJ Hooda,Sunrisers Hyderabad,13,11,155,23.45,135.26,7,6,1,0,1,8.98,55.68
2021,DJ Hooda,Sunrisers Hyderabad,9,7,150,24.34,139.26,10,4,2,0,0,7.99,46.62
2022,DJ Hooda,Sunrisers Hyderabad,8,6,206,23.08,110.2,11,4,2,0,0,8.6,52.91
2023,DJ Hooda,Sunrisers Hyderabad,10,8,123,14.06,145.86,7,6,1,1,1,7.95,56.33
2024,DJ Hooda,Sunrisers Hyderabad,13,11,148,21.92,119.93,13,8,2,0,2,8.21,44.71
2025,DJ Hooda,Sunrisers Hyderabad,15,12,155,16.63,124.21,12,8,1,0,1,8.53,47.21
2008,DJ Hussey,Chennai Super Kings,9,9,197,16.81,121.15,9,9,2,0,2,9.45,70.26
2009,DJ Hussey,Kings XI Punjab,12,11,134,24.91,118.59,11,7,0,0,1,9.21,65.66
2010,DJ Hussey,Kolkata Knight Riders,8,8,285,16.38,138.9,8,6,3,0,1,9.61,50.21
2011,DJ Hussey,Kolkata Knight Riders,9,9,224,22.88,109.48,7,7,4,1,1,8.19,48.06
2012,DJ Hussey,Kolkata Knight Riders,12,11,260,21.6,133.92,18,9,0,0,1,9.86,47.55
2013,DJ Hussey,Kolkata Knight Riders,9,9,188,28.24,111.75,11,12,3,0,0,9.11,68.31
2014,DJ Hussey,Kolkata Knight Riders,6,6,238,33.28,135.98,8,6,1,0,1,8.84,50.89
2011,DJ Jacobs,Mumbai Indians,5,5,37,12.41,99.4,5,2,0,0,0,9.12,30.39
2012,DJ Jacobs,Mumbai Indians,5,5,71,9.72,83.39,4,2,1,0,0,8.83,26.79
2021,DJ Malan,Punjab Kings,1,1,11,35.25,92.63,1,1,0,0,0,8.13,29.61
2022,DJ Mitchell,Chennai Super Kings,3,3,74,36.39,150.58,11,3,1,0,0,12.21,107.3
2023,DJ Mitchell,Rajasthan Royals,7,7,110,35.67,127.44,11,2,0,0,0,12.52,102.63
2024,DJ Mitchell,Rajasthan Royals,5,5,143,33.9,147.15,12,2,2,0,0,10.94,98.66
2015,DJ Muthuswami,Delhi Daredevils,5,2,1,0.76,32.2,0,0,0,0,7,7.9,23.48
2008,DJ Thornely,Mumbai Indians,5,3,26,16.47,63.33,1,1,0,0,5,5.94,14.05
2018,DJ Willey,Chennai Super Kings,2,1,9,17.32,83.56,1,0,0,0,2,7.22,40.88
2019,DJ Willey,Royal Challengers Bangalore,2,1,12,34.53,90.31,1,0,0,0,1,7.73,44.43
2020/21,DJ Willey,Royal Challengers Bangalore,3,1,11,22.69,89.16,1,0,0,0,0,7.61,53.68
2021,DJ Willey,Royal Challengers Bangalore,2,1,10,36.85,86.19,1,0,0,0,1,8.13,50.12
2022,DJ Willey,Royal Challengers Bangalore,2,1,12,18.12,94.19,2,0,0,0,1,7.18,40.48
2023,DJ Willey,Royal Challengers Bangalore,3,1,11,19.61,76.05,1,0,0,0,1,7.64,40.37
2013,DJG Sammy,Royal Challengers Bangalore,5,5,53,21.96,124.23,7,4,0,0,1,9.64,27.45
2014,DJG Sammy,Sunrisers Hyderabad,10,9,123,20.56,111.83,3,4,0,1,2,8.08,26.94
2015,DJG Sammy,Sunrisers Hyderabad,7,6,84,12.51,105.13,7,7,1,0,5,9.06,36.49
2018,DJM Short,Rajasthan Royals,7,7,159,12.34,112.11,15,4,1,0,0,5.78,20.71
2016,DL Chahar,Chennai Super Kings,10,2,15,18.89,128.93,0,1,0,0,11,8.59,30.25
2017,DL Chahar,Mumbai Indians,7,1,14,10.42,117.62,1,1,0,0,11,8.97,29.14
2018,DL Chahar,Rising Pune Supergiant,7,1,9,18.35,133.19,0,1,0,0,12,7.88,34.43
2019,DL Chahar,Rising Pune Supergiants,7,1,5,20.35,133.76,1,1,0,0,7,8.76,32.13
2020/21,DL Chahar,Rising Pune Supergiants,4,1,10,13.21,134.01,1,0,0,0,12,8.84,26.91
2021,DL Chahar,Rising Pune Supergiants,9,2,7,14.38,125.86,1,1,0,0,9,7.96,32.33
2022,DL Chahar,Rising Pune Supergiants,5,1,8,14.55,140.5,1,1,0,0,13,8.27,29.32
2023,DL Chahar,Rising Pune Supergiants,8,1,9,16.49,124.96,0,1,0,0,8,7.47,29.11
2024,DL Chahar,Rising Pune Supergiants,5,1,10,17.85,158.44,1,1,0,0,8,8.92,29.91
2025,DL Chahar,Rising Pune Supergiants,5,1,16,18.58,158.12,1,1,0,0,9,8.87,34.88
2026,DL Chahar,Rising Pune Supergiants,5,1,11,12.8,121.21,0,0,0,0,11,8.14,28.29
2008,DL Vettori,Delhi Daredevils,8,4,14,10.18,113.9,1,0,0,0,5,6.29,28.46
2009,DL Vettori,Royal Challengers Bangalore,4,2,11,17.63,122.99,3,0,0,0,9,7.08,29.71
2010,DL Vettori,Royal Challengers Bangalore,6,3,34,9.62,104.99,1,1,0,0,6,6.11,32.37
2011,DL Vettori,Royal Challengers Bangalore,7,4,37,9.67,111.31,2,0,0,0,3,7.06,29.41
2012,DL Vettori,Royal Challengers Bangalore,5,2,35,21.07,107.17,3,0,0,0,9,6.93,36.25
2017,DM Bravo,Kolkata Knight Riders,1,1,9,20.27,107.79,1,0,0,0,0,8.42,25.08
2008,DNT Zoysa,Deccan Chargers,4,3,15,6.65,106.3,1,0,0,0,3,9.8,52.3
2022,DP Conway,Chennai Super Kings,4,4,166,41.95,152.59,27,11,0,0,0,8.77,27.78
2023,DP Conway,Chennai Super Kings,10,10,251,54.29,124.46,32,10,0,0,0,8.44,33.72
2024,DP Conway,Chennai Super Kings,10,10,320,56.24,142.81,21,10,4,0,0,8.86,32.39
2025,DP Conway,Chennai Super Kings,8,8,177,55.55,133.2,18,11,0,0,0,8.12,29.67
2009,DP Nannes,Chennai Super Kings,8,1,1,3.05,29.01,0,0,0,0,6,6.88,31.06
2010,DP Nannes,Delhi Daredevils,7,1,1,3.69,32.46,0,0,0,0,2,7.87,24.82
2011,DP Nannes,Royal Challengers Bangalore,7,1,1,3.48,34.62,0,0,0,0,5,6.66,32.09
2012,DP Nannes,Royal Challengers Bangalore,6,1,1,4.7,28.47,0,0,0,0,4,7.36,24.61
2013,DP Nannes,Royal Challengers Bangalore,9,1,1,5.5,28.9,0,0,0,0,9,7.36,26.13
2008,DP Vijaykumar,Deccan Chargers,8,2,1,17.37,87.4,0,0,0,0,7,7.32,51.03
2008,DPMD Jayawardene,Delhi Daredevils,16,16,237,18.13,128.02,20,5,4,0,0,7.7,35.88
2009,DPMD Jayawardene,Kings XI Punjab,13,13,260,30.91,130.15,32,6,3,0,0,9.02,32.45
2010,DPMD Jayawardene,Kochi Tuskers Kerala,12,12,344,38.2,116.41,39,10,5,0,0,8.11,35.29
2011,DPMD Jayawardene,Kochi Tuskers Kerala,16,16,403,37.75,117.98,42,8,0,0,0,7.67,34.32
2012,DPMD Jayawardene,Kochi Tuskers Kerala,16,16,455,37.9,117.59,31,9,2,0,0,8.82,31.06
2013,DPMD Jayawardene,Kochi Tuskers Kerala,16,16,156,27.29,111.83,28,8,2,0,0,8.66,24.59
2010,DR Martyn,Rajasthan Royals,1,1,27,12.13,90.62,1,0,0,0,0,8.8,26.59
2020/21,DR Sams,Delhi Capitals,3,2,11,3.42,85.94,0,1,0,0,3,7.92,39.02
2021,DR Sams,Mumbai Indians,6,5,8,3.79,104.62,0,1,0,0,7,8.91,32.48
2022,DR Sams,Royal Challengers Bangalore,6,5,12,3.11,96.64,0,1,0,0,2,8.55,37.15
2018,DR Shorey,Chennai Super Kings,1,1,10,6.75,66.69,0,1,0,0,0,8.4,27.15
2019,DR Shorey,Chennai Super Kings,1,1,4,8.53,70.0,0,1,0,0,0,9.09,27.68
2008,DR Smith,Chennai Super Kings,8,8,227,34.27,149.25,21,6,2,0,2,8.12,26.92
2009,DR Smith,Deccan Chargers,6,6,207,23.53,133.55,28,13,3,0,2,9.16,32.74
2010,DR Smith,Gujarat Lions,8,8,123,17.38,146.86,33,6,0,0,3,9.27,36.04
2011,DR Smith,Mumbai Indians,10,10,214,22.79,115.49,23,15,2,1,4,8.32,29.7
2012,DR Smith,Mumbai Indians,8,8,375,37.75,128.47,26,10,3,0,4,9.12,34.76
2013,DR Smith,Mumbai Indians,11,11,316,24.11,130.95,32,8,0,0,2,9.63,30.14
2014,DR Smith,Mumbai Indians,8,8,149,22.84,154.8,34,7,2,0,4,9.36,26.49
2015,DR Smith,Mumbai Indians,11,11,97,21.33,143.33,28,7,1,0,1,9.27,32.5
2016,DR Smith,Mumbai Indians,6,6,259,28.14,115.09,15,11,2,0,2,8.28,26.25
2017,DR Smith,Mumbai Indians,11,11,347,29.96,133.73,22,12,4,0,4,8.41,33.53
2008,DS Kulkarni,Gujarat Lions,9,2,7,14.0,102.05,1,0,0,0,9,7.58,34.27
2009,DS Kulkarni,Mumbai Indians,4,1,8,9.99,107.33,0,0,0,0,9,8.56,34.46
2010,DS Kulkarni,Rajasthan Royals,4,1,5,9.65,85.53,1,0,0,0,10,9.1,24.56
2011,DS Kulkarni,Rajasthan Royals,10,2,9,13.69,108.55,1,0,0,0,9,8.71,23.77
2012,DS Kulkarni,Rajasthan Royals,8,2,9,13.73,103.07,0,0,0,0,3,8.52,34.27
2013,DS Kulkarni,Rajasthan Royals,4,1,7,10.25,108.72,0,0,0,0,8,7.64,27.3
2014,DS Kulkarni,Rajasthan Royals,6,2,11,10.69,93.28,1,0,0,0,2,9.1,23.67
2015,DS Kulkarni,Rajasthan Royals,6,2,7,12.33,99.5,1,0,0,0,4,8.74,30.87
2016,DS Kulkarni,Rajasthan Royals,9,2,12,7.61,90.47,1,0,0,0,9,7.54,33.88
2017,DS Kulkarni,Rajasthan Royals,3,1,5,15.85,97.48,0,0,0,0,4,8.5,27.52
2018,DS Kulkarni,Rajasthan Royals,6,2,3,7.45,93.57,1,0,0,0,9,9.08,27.81
